method,method_label,train_times,metric,mean,std,count
ours,Ours,208,lpips,0.109733,0.021324,15
ours,Ours,212,psnr,25.671344,1.663687,9
ours,Ours,212,ssim,0.849394,0.059626,9
ours,Ours,212,lpips,0.105807,0.032741,9
ours,Ours,216,psnr,24.544137,1.956723,8
ours,Ours,216,ssim,0.840145,0.030395,8
ours,Ours,216,lpips,0.116032,0.024218,8
ours,Ours,220,psnr,24.670843,1.629201,7
ours,Ours,220,ssim,0.830399,0.053958,7
ours,Ours,220,lpips,0.117065,0.033325,7
ours,Ours,224,psnr,25.390350,1.452349,4
ours,Ours,224,ssim,0.841093,0.041631,4
ours,Ours,224,lpips,0.105975,0.013188,4
ours,Ours,228,psnr,24.622350,0.794449,4
ours,Ours,228,ssim,0.829704,0.041855,4
ours,Ours,228,lpips,0.122183,0.025643,4
ours,Ours,232,psnr,24.701267,0.485310,3
ours,Ours,232,ssim,0.838043,0.022447,3
ours,Ours,232,lpips,0.115696,0.013097,3
ours,Ours,236,psnr,24.730450,2.390092,2
ours,Ours,236,ssim,0.813427,0.072592,2
ours,Ours,236,lpips,0.127819,0.037156,2
ours,Ours,240,psnr,22.222100,0.000000,1
ours,Ours,240,ssim,0.727306,0.000000,1
ours,Ours,240,lpips,0.184414,0.000000,1
